,0
0,illyrical
1,"[Intro]Shades night creepingWillow trees weepingOld folks babies sleepingSilver stars gleamingAll alone I'm schemingScheming get hereMy dear, come…[Chorus]Tiptoe window, windowThat I'll beCome tiptoe tulips meTiptoe pillowTo shadow willow treeAnd tiptoe tulips me[Pre-Chorus]Knee deep / flowers we'll strayWe'll keep / showers away[Chorus]And kiss garden, moonlightWill pardon me?Come tiptoe tulips meYou might also like[Instrumental Bridge][Pre-Chorus]Knee deep / flowers we'll strayWe'll keep / showers away[Chorus]And kiss garden, moonlightWill pardon me?Come tiptoe tulips"
2,"seen well-to-do, Park AvenueOn famous thoroughfare, noses airHigh hats Arrow collars, white spats lots dollarsSpending every dime, wonderful timeIf blue know go toWhy go fashion sitsPuttin' ritzDifferent types wear day coat, pants stripesAnd cutaway coat, perfect fitsPuttin' ritzDressed like million dollar trouperTrying mighty hard look like Gary Cooper (super duper)Come let's mix Rockefellers walk sticksOr ""umberellas"" mittsPuttin' ritzIf blue know go toWhy go fashion sits(Puttin' ritz)(Puttin' ritz)(Puttin' ritzYou might also like"
3,"[Verse 1]Folks, here's story 'bout Minnie MoocherShe red hot hoochie-coocherShe roughest toughest frailBut Minnie heart big whale[Chorus]Hi de hi de hi de hiHo de ho de ho de hoHee de hee de hee de heeHi de hi de hi de ho[Verse 2]She messed around bloke named SmokeyShe loved though cokeyHe took Chinatown showed herHow kick gong around[Chorus 2]Hi de hi de hi de hiWhoaHee de hee de hee de heeHi de hi de hi de ho[Verse 3]She dream king SwedenHe gave things, needin'He gave home built gold steelA diamond car, platinum wheelsYou might also like[Chorus 3]Hi-de-hi-de-hi-de-hi-de-hi-de-hi-de-hiHo-de-ho-de-ho-de-ho-de-ho-de-ohSkeedle-a-booka-diki biki skeedly beeka gookity woop!A-booriki-booriki-booriki hoy![Verse 4]He gave town house racing horsesEach meal ate dozen coursesShe million dollars worth nickels dimesShe sat around counted million times[Chorus]Hi de hi de hi de hiHo de ho de ho de hoHee de hee de hee de heeHi de hi de hi de ho[Outro]Poor MinPoor MinPoor Min"
4,"[Trumpet solo: Louis Armstrong][Verse]What good melody?What good musicIf ain't possessing something sweet?Now ain't melodyAnd ain't musicThere's something else makes tune complete, yes[Chorus]It mean thingIf ain't got swingWell, mean thingAll got singIt makes difference sweet hotJust give rhythm everything got, yesIt mean thingIf ain't got swingIt mean thing, mean thingIf ain't got swing, boyBa ba doo da da ba boo doo zee, ba boo zoo loo doo, ba zoo zeeI said, mean thingAnd got sing likeLa la, la la, la la, doo loo, doo doo, bee bee, doNow makes difference sweet hotJust give rhythm everything got, ohDon't mean thing, boyIf ain't got a-that a-swing-aUh boo, boo doo, boo boo, boo dooTake it, TrummyYou might also like[Instrumental]"
5,"know whyThere's sun skyStormy weatherSince man ain't togetherKeeps raining timeLife bareGloom misery everywhereStormy weatherJust can't get poor self togetherI'm weary time, timeSo weary timeWhen went awayThe blues walked met meIf stays away, old rocking chair get meAll pray Lord let meWalk sun moreCan't go onAll life goneStormy weatherSince man ain't togetherKeeps raining timeKeeps raining timeYou might also likeI walk aroundHeavy-hearted sadNight comes aroundAnd I'm still feeling badRain pourin' downBlinding every hope hadThis pitterin', patterin', beatin' spatterin'Drives madLove, love, love, loveThis misery much meCan't go onAll life goneStormy weatherSince man ain't togetherKeeps raining timeKeeps raining time"
6,"[Verse 1]The thought forget doThe little ordinary things everyone ought doI'm living kind daydream, I'm happy kingAnd foolish though may seem, that's everything[Verse 2]The mere idea you, longing youYou'll never know slow moments go till I'm near youI see face every flower, eyes stars aboveIt's thought you, thought you, love[Instrumental Break][Outro]It's thought you, thought you, loveYou might also like"
7,"got invitation mails:""Your presence requested eveningIt's formal, top hat, white tie tails.""Nothing could take wind sailsBecause I'm invited step eveningWith top hat white tie tails[Chorus:]For I'll therePuttin' top hatMussin' white tieDancin' tailsI'm puttin' top hatTyin' white tieBrushin' tailsI'm dudin' shirt frontPuttin' shirt studsPolishin' nailsI'm steppin' out, dearTo breathe atmosphereThat simply reeks class;And trust excuse dustWhen step gasYou might also like[Chorus]"
8,illyrical
9,"[Verse 1]Somewhere rainbowWay highThere's land heard ofOnce lullaby[Verse 2]Somewhere rainbowSkies blueAnd dreams dare dreamReally come true[Bridge]Someday I'll wish upon starAnd wake clouds far behind meWhere troubles melt like lemon dropsAway chimney topsThat's find me[Verse 3]Somewhere rainbowBluebirds flyBirds fly rainbowWhy, then, oh, can't I?[Outro]If happy little bluebirds flyBeyond rainbowWhy, oh, can't I?You might also like"
