,Bill Number,Title,Link,Description,Last Action,Governor Signed,Sponsors,Subjects,Session,Types,Last Action Date
0,HB16-1001,State Contract Certify Compliance With Equal Pay Laws,/bills/hb16-1001,Concerning a requirement that a business performing work for the state pursuant to a state contract comply with equal pay standards.,"Last Action:03/30/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. J. Danielson, Rep. J. Buckner, Sen. J. Ulibarri",Labor & EmploymentState Government,2016 Regular Session,Type:Bill,2016-03-30
1,HB16-1002,Employee Leave Attend Child's Academic Activities,/bills/hb16-1002,Concerning the ability of an employee of an employer who employs at least fifty employees to take up to eighteen hours of leave from work for purposes of attending his or her child's academic activities.,"Last Action:03/9/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. J. Buckner, Sen. A. Kerr",Education & School Finance (Pre & K-12)Labor & Employment,2016 Regular Session,Type:Bill,2016-03-09
2,HB16-1003,Middle Class College Savings Act,/bills/hb16-1003,Concerning the state income tax deductions for contributions to and distributions of investment earnings from the qualified state tuition program established by collegeinvest.,"Last Action:05/5/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. B. Pettersen, Rep. D. Young, Sen. M. Merrifield, Sen. N. Todd",Fiscal Policy & TaxesHigher Education,2016 Regular Session,Type:Bill,2016-05-05
3,HB16-1004,Measurable Goals Deadlines Colorado Climate Action Plan,/bills/hb16-1004,Concerning a requirement to include measurable goals that are subject to deadlines in Colorado's climate action plan.,"Last Action:03/30/2016 | Senate Committee on Agriculture, Natural Resources, & Energy Postpone Indefinitely",0,"Rep. F. Winter, Rep. J. Arndt, Sen. J. Kefalas",EnergyNatural Resources & Environment,2016 Regular Session,Type:Bill,2016-03-30
4,HB16-1005,Residential Precipitation Collection,/bills/hb16-1005,Concerning the use of rain barrels to collect precipitation from a residential rooftop for nonpotable outdoor uses.,Last Action:05/12/2016 | Governor Signed,1,"Rep. D. Esgar, Rep. J. Danielson, Sen. M. Merrifield",Water,2016 Regular Session,Type:Bill,2016-05-12
5,HB16-1006,Clarify Tax Exemptions For Housing Authorities,/bills/hb16-1006,"Concerning clarification of the scope of the exemption from government charges for property owned by or leased to a housing authority or owned by, leased to, or under construction by an entity that is wholly owned by an authority, an entity in which an authority has an ownership interest, or an entity in which an entity wholly owned by an authority or of which an authority is the sole member has an ownership interest.",Last Action:05/18/2016 | Governor Signed,1,"Rep. K. Becker, Rep. A. Garnett, Sen. O. Hill",Fiscal Policy & TaxesHousingLocal Government,2016 Regular Session,Type:Bill,2016-05-18
6,HB16-1007,Offenses Against Unborn Children,/bills/hb16-1007,Concerning offenses against an unborn child.,Last Action:02/11/2016 | House Committee on Business Affairs and Labor Postpone Indefinitely,0,Rep. J. Joshi,"Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-02-11
7,HB16-1008,Roadway Shoulder Access For Buses,/bills/hb16-1008,Concerning authorization for the department of transportation to designate an area on a roadway not otherwise laned for traffic for use by commercial vehicles designed to transport sixteen passengers or more that are operated by a governmental entity or government-owned business that transports the general public or by a contractor on behalf of such an entity or government-owned business.,Last Action:03/9/2016 | Governor Signed,1,"Rep. F. Winter, Rep. J. Becker, Sen. J. Cooke, Sen. R. Heath",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-09
8,HB16-1009,Fallen Heroes License Plates Local Authorities,/bills/hb16-1009,"Concerning the issuance of fallen heroes license plates, and, in connection therewith, making an appropriation.",Last Action:04/27/2016 | Senate Committee on Appropriations Postpone Indefinitely,0,"Rep. P. Buck, Sen. J. Cooke",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-04-27
9,HB16-1010,Destructive Rodent Pest Release Authorization Requirements,/bills/hb16-1010,Concerning the authorization process for the release of destructive rodent pests into a county.,"Last Action:03/21/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. K. Priola, Sen. J. Sonnenberg",AgricultureLocal GovernmentNatural Resources & EnvironmentState Government,2016 Regular Session,Type:Bill,2016-03-21
10,HB16-1011,Metropolitan District Authority Promote Business Development,/bills/hb16-1011,Concerning the removal of restrictions on the authority of a board of a metropolitan district to provide activities in support of business development within the district.,Last Action:04/15/2016 | Governor Signed,1,"Rep. E. Vigil, Sen. L. Garcia, Sen. K. Grantham",Local Government,2016 Regular Session,Type:Bill,2016-04-15
11,HB16-1012,Clerk File Copy Of Municipal Election Results With DOLA Department Of Local Affairs,/bills/hb16-1012,Concerning a requirement that a municipal clerk file a copy of each statement of election results with the division of local government in the department of local affairs rather than the secretary of state.,Last Action:03/16/2016 | Governor Signed,1,"Rep. S. Ryden, Sen. R. Scott",Elections & RedistrictingLocal Government,2016 Regular Session,Type:Bill,2016-03-16
12,HB16-1013,School District Crime Insurance In Lieu Of Bonds,/bills/hb16-1013,Concerning authorizing school districts to purchase crime insurance coverage in lieu of surety bonds.,Last Action:03/18/2016 | Governor Signed,1,"Rep. A. Garnett, Sen. V. Marble",Education & School Finance (Pre & K-12),2016 Regular Session,Type:Bill,2016-03-18
13,HB16-1014,SOS Secretary of State Business Intelligence Center,/bills/hb16-1014,Concerning the creation of the business intelligence center program within the department of state.,Last Action:06/10/2016 | Governor Signed,1,"Rep. A. Williams, Sen. J. Tate",Business & Economic DevelopmentState Government,2016 Regular Session,Type:Bill,2016-06-10
14,HB16-1015,Contingent Repeal Hlth Ins Laws Aligning With ACA,/bills/hb16-1015,"Concerning the repeal of certain provisions of the ""Colorado Health Care Coverage Act"" contingent on the repeal of comparable federal law provisions.","Last Action:02/3/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. G. Klingenschmitt,Health Care & Health InsuranceInsurance,2016 Regular Session,Type:Bill,2016-02-03
15,HB16-1016,Using Multiple Measures Of Student Academic Growth,/bills/hb16-1016,Concerning using multiple measures of student academic growth.,"Last Action:05/9/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. D. Young, Sen. A. Kerr",Education & School Finance (Pre & K-12),2016 Regular Session,Type:Bill,2016-05-09
16,HB16-1017,Victim Impact Panel Appearances For DUI,/bills/hb16-1017,Concerning appearances before a victim impact panel.,Last Action:03/22/2016 | Governor Signed,1,"Rep. D. Pabon, Rep. P. Lawrence, Sen. J. Cooke, Sen. M. Johnston","Crimes, Corrections, & EnforcementTransportation & Motor Vehicles",2016 Regular Session,Type:Bill,2016-03-22
17,HB16-1018,Transportation Advisory Committee Procedures,/bills/hb16-1018,Concerning a requirement that the statewide transportation advisory committee provide advice and comments regarding transportation-related matters to both the department of transportation and the transportation commission rather than to the department only.,Last Action:03/2/2016 | Governor Signed,1,"Rep. T. Carver, Rep. D. Mitsch Bush, Sen. N. Todd",State GovernmentTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-02
18,HB16-1019,Broadcast Burns Watershed Protection,/bills/hb16-1019,Concerning increased authority to use broadcast burning as a tool to promote watershed restoration.,Last Action:03/22/2016 | Governor Signed,1,"Rep. K. Becker, Sen. M. Jones, Sen. E. Roberts",Natural Resources & Environment,2016 Regular Session,Type:Bill,2016-03-22
19,HB16-1020,No Drones Near Airports Or Jails,/bills/hb16-1020,Concerning prohibiting certain uses of an unmanned aircraft system.,Last Action:01/26/2016 | House Committee on Judiciary Postpone Indefinitely,0,"Rep. P. Rosenthal, Sen. J. Cooke","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-01-26
20,HB16-1021,Race Info ID Application,/bills/hb16-1021,Concerning providing the opportunity to collect identifying information from applicants for state-issued cards.,Last Action:06/10/2016 | Governor Signed,1,"Rep. J. Salazar, Sen. J. Ulibarri, Sen. E. Roberts",State Government,2016 Regular Session,Type:Bill,2016-06-10
21,HB16-1022,Full-day Kindergarten Funding,/bills/hb16-1022,Concerning funding for school districts to provide full-day kindergarten programs.,Last Action:05/5/2016 | House Committee on Appropriations Postpone Indefinitely,0,Rep. J. Wilson,Education & School Finance (Pre & K-12),2016 Regular Session,Type:Bill,2016-05-05
22,HB16-1023,Deadly Force Against An Intruder At A Business,/bills/hb16-1023,Concerning the use of deadly physical force against a person who has made an illegal entry into a place of business.,"Last Action:03/7/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. J. Everett,"Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-03-07
