"Total Registered Voters by Party & Status 
as of 00:17 on 11/01/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active registered voters,,,,,,,,,,,,,Inactive registered voters,,,,,,,,,,,,,Pre-registered voters,,,,,,,,,,,,,All,
County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Active Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Inactive Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Prereg Total,County,Grand Total
Adams,"1,308",809,236,"91,779",22,627,"2,897","2,236","59,911","158,212",426,"318,463",Adams,189,84,7,"8,686",0,91,436,17,"6,858","19,526",51,"35,945",Adams,7,6,2,252,0,10,9,78,330,"5,414",2,"6,110",Adams,"360,518"
Alamosa,60,24,2,"2,745",0,20,75,52,"2,731","4,522",13,"10,244",Alamosa,3,1,0,348,0,6,17,2,287,892,3,"1,559",Alamosa,0,0,0,5,0,0,0,1,11,168,0,185,Alamosa,"11,988"
Arapahoe,"1,248",701,300,"125,374",29,853,"3,829","2,297","84,239","205,067",396,"424,333",Arapahoe,211,80,5,"14,741",0,172,681,10,"9,818","29,754",68,"55,540",Arapahoe,9,3,9,553,2,10,12,118,520,"6,603",0,"7,839",Arapahoe,"487,712"
Archuleta,43,4,3,"1,882",0,23,98,46,"4,009","5,540",2,"11,650",Archuleta,8,3,0,256,0,10,14,0,642,927,2,"1,862",Archuleta,0,0,0,3,0,0,0,2,19,144,0,168,Archuleta,"13,680"
Baca,15,1,0,276,0,2,17,7,"1,282",972,2,"2,574",Baca,2,1,0,27,0,2,1,0,104,156,0,293,Baca,0,0,0,1,0,0,0,0,20,47,0,68,Baca,"2,935"
Bent,20,4,0,532,0,5,21,19,"1,083","1,293",2,"2,979",Bent,8,1,0,79,0,3,8,3,105,292,2,501,Bent,0,0,0,1,0,0,0,0,6,39,0,46,Bent,"3,526"
Boulder,271,170,212,"91,973",14,699,"1,734",996,"24,679","110,505",128,"231,381",Boulder,65,19,10,"9,220",0,117,371,5,"3,113","15,749",26,"28,695",Boulder,8,1,5,666,0,8,9,56,96,"2,923",1,"3,773",Boulder,"263,849"
Broomfield,83,46,62,"15,368",2,106,508,219,"10,481","28,587",29,"55,491",Broomfield,18,11,1,"1,513",0,22,105,2,"1,292","3,971",2,"6,937",Broomfield,1,0,0,74,0,1,1,17,77,818,0,989,Broomfield,"63,417"
Chaffee,35,13,7,"4,006",0,28,127,73,"4,146","8,276",7,"16,718",Chaffee,9,0,1,360,0,11,40,3,567,"1,206",1,"2,198",Chaffee,1,0,0,8,0,0,0,5,29,144,0,187,Chaffee,"19,103"
Cheyenne,5,0,0,89,0,0,1,2,769,384,0,"1,250",Cheyenne,1,0,0,8,0,0,0,0,59,61,0,129,Cheyenne,0,0,0,0,0,0,0,0,9,22,0,31,Cheyenne,"1,410"
Clear Creek,27,8,9,"1,926",0,25,106,21,"1,609","3,809",7,"7,547",Clear Creek,5,1,1,207,0,7,20,0,204,625,1,"1,071",Clear Creek,0,0,0,6,0,0,1,0,6,64,0,77,Clear Creek,"8,695"
Conejos,16,3,2,"1,885",0,7,22,16,"1,807","1,570",4,"5,332",Conejos,7,2,0,135,0,2,5,0,149,239,1,540,Conejos,0,0,0,3,0,0,0,0,27,92,0,122,Conejos,"5,994"
Costilla,19,6,2,"1,357",0,5,25,19,450,"1,061",2,"2,946",Costilla,6,0,0,122,0,1,3,0,88,267,0,487,Costilla,0,0,0,2,0,0,0,0,3,39,0,44,Costilla,"3,477"
Crowley,9,2,1,337,0,5,14,7,996,876,4,"2,251",Crowley,1,1,0,40,0,2,5,0,80,152,1,282,Crowley,0,0,0,0,0,0,0,0,11,28,0,39,Crowley,"2,572"
Custer,16,1,0,461,0,8,46,24,"2,038","2,050",1,"4,645",Custer,6,0,0,48,0,2,4,1,206,255,0,522,Custer,0,0,0,0,0,0,0,0,11,38,0,49,Custer,"5,216"
Delta,116,22,8,"2,963",0,50,203,89,"9,758","10,760",11,"23,980",Delta,28,5,0,246,0,9,33,2,716,"1,092",1,"2,132",Delta,1,0,1,3,0,0,0,1,68,291,1,366,Delta,"26,478"
Denver,"1,110",848,566,"195,348",52,"1,327","3,721","2,990","43,588","221,055",464,"471,069",Denver,295,134,25,"29,490",0,336,"1,041",57,"8,173","46,754",153,"86,458",Denver,3,6,8,638,0,4,8,99,126,"4,522",0,"5,414",Denver,"562,941"
Dolores,10,0,2,201,1,5,12,5,760,730,0,"1,726",Dolores,1,0,0,16,0,0,1,0,43,55,0,116,Dolores,0,0,0,0,0,0,0,0,7,24,0,31,Dolores,"1,873"
Douglas,477,141,234,"50,347",8,339,"2,685","1,046","92,288","139,493",110,"287,168",Douglas,97,17,5,"4,322",0,58,416,11,"8,328","14,146",5,"27,405",Douglas,14,1,4,297,0,4,15,116,976,"5,065",1,"6,493",Douglas,"321,066"
