"Total Registered Voters by Status
as of 00:17 on 11/01/2024"         ,            ,            ,              ,         ,             ,                           ,          ,          ,              ,         ,               ,                      ,         ,         ,              ,    ,             ,            ,            , , , , , , , , , ,
Active Registered Voters           ,            ,            ,              ,         ,             ,Inactive Registered Voters ,          ,          ,              ,         ,               ,Pre-registered Voters ,         ,         ,              ,    ,             ,Total       ,            , , , , , , , , , ,
County                             ,Female      ,Male        ,Not Disclosed ,X        ,Active Total ,County                     ,Female    ,Male      ,Not Disclosed ,X        ,Inactive Total ,County                ,Female   ,Male     ,Not Disclosed ,X   ,Prereg Total ,County      ,Grand Total , , , , , , , , , ,
Adams                              ,"160,523"   ,"155,043"   ,"1,295"       ,"1,602"  ,"318,463"    ,Adams                      ,"17,161"  ,"18,127"  ,26            ,631      ,"35,945"       ,Adams                 ,"3,013"  ,"3,060"  ,33            ,4   ,"6,110"      ,Adams       ,"360,518"   , , , , , , , , , ,
Alamosa                            ,"5,258"     ,"4,917"     ,17            ,52       ,"10,244"     ,Alamosa                    ,753       ,780       ,0             ,26       ,"1,559"        ,Alamosa               ,91       ,91       ,2             ,1   ,185          ,Alamosa     ,"11,988"    , , , , , , , , , ,
Arapahoe                           ,"216,316"   ,"204,844"   ,"1,711"       ,"1,462"  ,"424,333"    ,Arapahoe                   ,"26,894"  ,"28,104"  ,18            ,524      ,"55,540"       ,Arapahoe              ,"3,726"  ,"4,048"  ,51            ,14  ,"7,839"      ,Arapahoe    ,"487,712"   , , , , , , , , , ,
Archuleta                          ,"5,816"     ,"5,795"     ,27            ,12       ,"11,650"     ,Archuleta                  ,897       ,957       ,1             ,7        ,"1,862"        ,Archuleta             ,91       ,77       ,0             ,0   ,168          ,Archuleta   ,"13,680"    , , , , , , , , , ,
Baca                               ,"1,292"     ,"1,278"     ,1             ,3        ,"2,574"      ,Baca                       ,147       ,146       ,0             ,0        ,293            ,Baca                  ,35       ,33       ,0             ,0   ,68           ,Baca        ,"2,935"     , , , , , , , , , ,
Bent                               ,"1,439"     ,"1,527"     ,11            ,2        ,"2,979"      ,Bent                       ,220       ,279       ,1             ,1        ,501            ,Bent                  ,19       ,27       ,0             ,0   ,46           ,Bent        ,"3,526"     , , , , , , , , , ,
Boulder                            ,"116,523"   ,"111,825"   ,"1,425"       ,"1,608"  ,"231,381"    ,Boulder                    ,"12,608"  ,"14,457"  ,18            ,"1,612"  ,"28,695"       ,Boulder               ,"1,837"  ,"1,863"  ,51            ,22  ,"3,773"      ,Boulder     ,"263,849"   , , , , , , , , , ,
Broomfield                         ,"28,079"    ,"27,082"    ,157           ,173      ,"55,491"     ,Broomfield                 ,"3,324"   ,"3,555"   ,1             ,57       ,"6,937"        ,Broomfield            ,504      ,480      ,4             ,1   ,989          ,Broomfield  ,"63,417"    , , , , , , , , , ,
Chaffee                            ,"8,439"     ,"8,144"     ,71            ,64       ,"16,718"     ,Chaffee                    ,"1,047"   ,"1,123"   ,1             ,27       ,"2,198"        ,Chaffee               ,74       ,112      ,1             ,0   ,187          ,Chaffee     ,"19,103"    , , , , , , , , , ,
Cheyenne                           ,619         ,630         ,1             ,0        ,"1,250"      ,Cheyenne                   ,65        ,64        ,0             ,0        ,129            ,Cheyenne              ,15       ,16       ,0             ,0   ,31           ,Cheyenne    ,"1,410"     , , , , , , , , , ,
Clear Creek                        ,"3,515"     ,"3,996"     ,21            ,15       ,"7,547"      ,Clear Creek                ,452       ,610       ,0             ,9        ,"1,071"        ,Clear Creek           ,28       ,49       ,0             ,0   ,77           ,Clear Creek ,"8,695"     , , , , , , , , , ,
Conejos                            ,"2,700"     ,"2,601"     ,19            ,12       ,"5,332"      ,Conejos                    ,271       ,264       ,0             ,5        ,540            ,Conejos               ,59       ,63       ,0             ,0   ,122          ,Conejos     ,"5,994"     , , , , , , , , , ,
Costilla                           ,"1,407"     ,"1,521"     ,13            ,5        ,"2,946"      ,Costilla                   ,211       ,273       ,1             ,2        ,487            ,Costilla              ,14       ,30       ,0             ,0   ,44           ,Costilla    ,"3,477"     , , , , , , , , , ,
Crowley                            ,"1,109"     ,"1,133"     ,2             ,7        ,"2,251"      ,Crowley                    ,133       ,145       ,0             ,4        ,282            ,Crowley               ,18       ,21       ,0             ,0   ,39           ,Crowley     ,"2,572"     , , , , , , , , , ,
Custer                             ,"2,279"     ,"2,352"     ,8             ,6        ,"4,645"      ,Custer                     ,219       ,302       ,0             ,1        ,522            ,Custer                ,22       ,27       ,0             ,0   ,49           ,Custer      ,"5,216"     , , , , , , , , , ,
Delta                              ,"12,177"    ,"11,746"    ,33            ,24       ,"23,980"     ,Delta                      ,"1,073"   ,"1,055"   ,0             ,4        ,"2,132"        ,Delta                 ,164      ,200      ,1             ,1   ,366          ,Delta       ,"26,478"    , , , , , , , , , ,
Denver                             ,"237,314"   ,"227,556"   ,"2,741"       ,"3,458"  ,"471,069"    ,Denver                     ,"39,209"  ,"44,067"  ,89            ,"3,093"  ,"86,458"       ,Denver                ,"2,558"  ,"2,719"  ,113           ,24  ,"5,414"      ,Denver      ,"562,941"   , , , , , , , , , ,
Dolores                            ,827         ,883         ,3             ,13       ,"1,726"      ,Dolores                    ,58        ,55        ,0             ,3        ,116            ,Dolores               ,15       ,16       ,0             ,0   ,31           ,Dolores     ,"1,873"     , , , , , , , , , ,
Douglas                            ,"145,901"   ,"139,676"   ,840           ,751      ,"287,168"    ,Douglas                    ,"13,465"  ,"13,617"  ,6             ,317      ,"27,405"       ,Douglas               ,"3,184"  ,"3,289"  ,4             ,16  ,"6,493"      ,Douglas     ,"321,066"   , , , , , , , , , ,
Eagle                              ,"16,786"    ,"18,033"    ,159           ,213      ,"35,191"     ,Eagle                      ,"1,989"   ,"2,524"   ,3             ,124      ,"4,640"        ,Eagle                 ,312      ,333      ,1             ,1   ,647          ,Eagle       ,"40,478"    , , , , , , , , , ,
