   ,source                  ,content
 0 ,NPR                     ,"Air quality in Los Angeles has improved as the Palisades and Eaton wildfires get under control. But as the fires burned through houses, cars and industrial areas, they spewed out vast amounts of smok… [+6171 chars]"
 1 ,Yahoo Entertainment     ,"A new study suggests that air pollution can affect the fertility rates of all people, not just mothers or others who can bear children.
                             What's happening?
                             The Guardian reported on a study published … [+2253 chars]"
 2 ,NPR                     ,"Members of two of the Environmental Protection Agency's most influential advisory committees, tasked with providing independent scientific guidance to the head of the agency, found out Tuesday evenin… [+3252 chars]"
 3 ,The Next Web            ,"Swedish startup Adsorbi has secured 1mn to ramp up production of a cellulose-based material that sucks up pollutants from the air.
                             Metsä Spring, the venture arm of the Finnish forestry giant, led t… [+2675 chars]"
 4 ,BBC News                ,"Thai authorities have made public transport in Bangkok free for one week, in an attempt to reduce the number of private cars on the roads and tackle air pollution.
                             Smog has already led to hundreds … [+50 chars]"
 5 ,Ourworldindata.org      ,"High levels of cholesterol are a risk factor for atherosclerosis and cardiovascular diseases, which can lead to heart attacks and strokes.
                             As the chart shows, the age-standardized share of American … [+1122 chars]"
 6 ,Gizmodo.com             ,"This story was originally published by Grist. Sign up for Grist’s weekly newsletter here.
                             Earths oceans caught a fever in March 2023 that has yet to break. Since then, the bathwater-like conditions … [+4834 chars]"
 7 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             G… [+3250 chars]"
 8 ,Yahoo Entertainment     ,"This common item is responsible for 25% of all microplastic pollution and it's worse than we thought.
                             What's happening?
                             A recent study found high levels of two potentially deadly chemicals in human… [+1901 chars]"
 9 ,NPR                     ,"2024 is officially the hottest year ever recorded on Planet Earth, at least while humans have been around, according to the official tallies from meteorological organizations around the world.
                             The N… [+8305 chars]"
10 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             A… [+2127 chars]"
11 ,Science Daily           ,A groundbreaking study led by University of Virginia researchers has used satellite measurements to show the long-term persistence of air pollution inequalities tied to industrialized swine facilitie… [+3192 chars]
12 ,Yahoo Entertainment     ,"Thick smog blanketed Hanoi on Friday, obscuring buildings and leaving nine million residents choking on toxic air as the Vietnamese capital topped a list of the world's most polluted major cities.
                             A… [+1935 chars]"
13 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             U… [+3054 chars]"
14 ,Time                    ,"The Los Angeles wildfires have killed at least two dozen people and decimated thousands of structures. Yet even in areas that arent burning, plumes of smoke remain a serious and ongoing public health… [+9546 chars]"
15 ,Gizmodo.com             ,"AI-generated scientific research is polluting the online academic information ecosystem, according to a worrying report published in the Harvard Kennedy School’s Misinformation Review.
                             A team of res… [+5110 chars]"
16 ,Futurity: Research News ,"Analyzing 16 years of race results and air pollution levels, a team of researchers found that poor air quality had a negative effect on marathon times.
                             When the research team assessed the associatio… [+4028 chars]"
17 ,Yahoo Entertainment     ,"Electric vehicles have been shown to be better for the health of the planet and, not unrelatedly, it turns out they are better for the health of individual humans, too. A new study published in the E… [+2144 chars]"
18 ,Yahoo Entertainment     ,Battery innovations steal many of the electric vehicleheadlines. But BMW's fascinating quad-motor prototype is reported by InsideEVs to have turned the heads of the carmaker's executives during testi… [+3524 chars]
19 ,Yahoo Entertainment     ,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
                             M… [+3249 chars]"
20 ,BBC News                ,"Parts of India smouldered in a blistering heatwave in June during the world's hottest year on record
                             Levels of the most significant planet-warming gas in our atmosphere rose more quickly than ever p… [+4587 chars]"
21 ,New Scientist           ,"The site of a Roman-era lead mine at Charterhouse in Somerset, UK
                             Andrew Wilson
                             Extensive silver mining may have exposed ancient Romans to high levels of lead pollution in the air, probably leading… [+390 chars]"
22 ,Jalopnik                ,"Despite concerns over energy-intensive production and fossil fuel powering the electrical grid, electric vehicles dont hold a candle to generative artificial intelligence in terms of environmental da… [+1551 chars]"
23 ,BBC News                ,"Vishnukant Tiwari
                             Protests have broken out after a dozen containers containing toxic waste arrived for disposal at a local plant in Pithampur
                             Vegetable vendor Shivnarayan Dasana had never seen so m… [+6285 chars]"
24 ,Politicopro.com         ,"CLIMATEWIRE | President Donald Trump’s cancellation of a 31-year-old environmental justice directive threatens the health of tens of millions of people in minority or low-income communities, which ha… [+7798 chars]"
25 ,Business Insider        ,"President-elect Donald Trump could quickly sign multiple executive orders pushing for more oil and gas production.Scott Olson/Getty Images
                             <ul><li>Trump is planning executive orders aligned with his… [+6556 chars]"
26 ,Science Daily           ,"Lead exposure is responsible for a range of human health impacts, with even relatively low levels impacting the cognitive development of children. DRI scientists have previously used atmospheric poll… [+5702 chars]"
27 ,Phys.Org                ,"Air pollution forced nearly 200 schools in Bangkok to close on Thursday, local authorities said, as officials urged people to work from home and restricted heavy vehicles in the city.
                             Seasonal air p… [+3142 chars]"
28 ,Dezeen                  ,"New York City has become the first city in the US to charge a toll for vehicles entering the city during peak traffic areas in an attempt to reduce congestion, pollution and to provide funds for the … [+2654 chars]"
29 ,CNET                    ,"The massive electronics bonanza known as CES 2025 starts tomorrow, and I'm sure that -- as in 2024 -- it won't disappoint when it comes to some truly strange gadgets. While I rub my hands in anticipa… [+6106 chars]"
30 ,BBC News                ,"Dense fog and severe air quality levels have caused travel chaos in India's capital Delhi.
                             Visibility in several areas was reported to be zero in the early hours of Friday, disrupting flights, trai… [+1826 chars]"
31 ,Presse-citron           ,"Dans l’histoire des catastrophes environnementales, le Great Smog de Londres est certainement l’un des épisodes de pollution les plus meurtriers de l’histoire. La capitale britannique était alors un … [+6417 chars]"
32 ,The Atlantic            ,"When my family returned to our home in Santa Monica last Sunday night, we breathed a sigh of relief. Our house was fine, and the air quality was in the “good” category. Schools would reopen the next … [+5460 chars]"
33 ,Phys.Org                ,"In Boyle Heights, a predominantly Hispanic/Latino neighborhood, residents face disproportionate exposure to toxic air pollution, which is linked to chronic illnesses like asthma and heightened mortal… [+3758 chars]"
34 ,Business Insider        ,"Cases of colorectal, breast, and cervical cancer are rising in young people.Getty Images
                             <ul><li>The American Cancer Society says women under 65 are getting cancer at higher rates.</li><li>Most case… [+3256 chars]"
35 ,Vox                     ,"Burned trees from the Palisades Fire and dust blown by winds are seen from Will Rogers State Park in the Pacific Palisades neighborhood on January 15, 2025. | Apu Gomes/Getty Images
                             
                             
                             The Palisades … [+7809 chars]"
36 ,Scientific American     ,"Firefighters in southern California are battling the Palisades and Eaton Fires, which have killed at least 25 people, burning a cumulative 37,700 acres and at least 12,000 structures. The plumes of s… [+4985 chars]"
37 ,Jalopnik                ,"Even if you dont care about pollution causing climate change, theres no denying that it hurts air quality, and gas-powered cars are a big part of that problem in cities. As a result, countries around… [+3241 chars]"
